,ReportDateTime,Country,Indicator,FullName,Period,Value
3997,2018-07-01 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Jun),2018-06-01,53.0
3998,2018-07-01 19:30:00,Taiwan,Manufacturing PMI,S&P Global Taiwan Manufacturing PMI (Jun),2018-06-01,54.5
3999,2018-07-01 19:30:00,Indonesia,Manufacturing PMI,Nikkei Manufacturing PMI (Jun),2018-06-01,50.3
4001,2018-07-02 00:00:00,India,Manufacturing PMI,S&P Global India Manufacturing PMI (Jun),2018-06-01,53.1
4002,2018-07-02 00:00:00,Ireland,Manufacturing PMI,AIB Ireland Manufacturing PMI (Jun),2018-06-01,56.6
4003,2018-07-02 01:00:00,Russia,Manufacturing PMI,Russian S&P Global Manufacturing PMI (Jun),2018-06-01,49.5
4004,2018-07-02 01:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (Jun),2018-06-01,54.2
4005,2018-07-02 02:00:00,Poland,Manufacturing PMI,S&P Global Poland Manufacturing PMI (Jun),2018-06-01,54.2
4006,2018-07-02 02:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Jun),2018-06-01,53.0
4007,2018-07-02 02:00:00,Turkiye,Manufacturing PMI,Istanbul Chamber of Industry Turkey Manufacturing PMI (Jun),2018-06-01,46.8
4008,2018-07-02 02:15:00,Spain,Manufacturing PMI,HCOB Spain Manufacturing PMI (Jun),2018-06-01,53.4
4009,2018-07-02 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Jun),2018-06-01,61.6
4010,2018-07-02 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Jun),2018-06-01,61.6
4011,2018-07-02 02:45:00,Italy,Manufacturing PMI,HCOB Italy Manufacturing PMI (Jun),2018-06-01,53.3
4012,2018-07-02 02:50:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Jun),2018-06-01,52.5
4013,2018-07-02 02:55:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Jun),2018-06-01,55.9
4014,2018-07-02 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Jun),2018-06-01,54.9
4015,2018-07-02 03:00:00,Greece,Manufacturing PMI,S&P Global Greece Manufacturing PMI (Jun),2018-06-01,53.5
4016,2018-07-02 03:30:00,United Kingdom,Manufacturing PMI,S&P Global/CIPS UK Manufacturing PMI (Jun),2018-06-01,54.4
4017,2018-07-02 04:00:00,South Africa,Manufacturing PMI,Manufacturing PMI,2018-06-01,47.9
4018,2018-07-02 08:00:00,Brazil,Manufacturing PMI,S&P Global Manufacturing PMI (Jun),2018-06-01,49.8
4019,2018-07-02 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Jun),2018-06-01,55.4
4021,2018-07-02 09:30:00,Mexico,Manufacturing PMI,S&P Global Mexico Manufacturing PMI (Jun),2018-06-01,52.1
4022,2018-07-04 19:30:00,Hong Kong,Manufacturing PMI,S&P Global Hong Kong Manufacturing PMI (Jun),2018-06-01,47.7
4024,2018-07-23 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Jul),2018-07-01,51.6
4025,2018-07-24 02:00:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Jul),2018-07-01,53.1
4026,2018-07-24 02:30:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Jul),2018-07-01,57.3
4027,2018-07-24 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Jul),2018-07-01,55.1
4028,2018-07-24 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Jul),2018-07-01,55.5
4029,2018-07-27 03:00:00,Austria,Manufacturing PMI,Unicredit Bank Austria Manufacturing PMI (Jul),2018-07-01,56.8
4030,2018-07-30 20:00:00,China,Manufacturing PMI,Manufacturing PMI (Jul),2018-07-01,51.2
4032,2018-07-31 19:30:00,Korea,Manufacturing PMI,S&P Global South Korea Manufacturing PMI (Jul),2018-07-01,48.3
4033,2018-07-31 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Jul),2018-07-01,52.3
4034,2018-07-31 19:30:00,Taiwan,Manufacturing PMI,S&P Global Taiwan Manufacturing PMI (Jul),2018-07-01,53.1
4035,2018-07-31 19:30:00,Indonesia,Manufacturing PMI,Nikkei Manufacturing PMI (Jul),2018-07-01,50.5
4037,2018-08-01 00:00:00,India,Manufacturing PMI,S&P Global India Manufacturing PMI (Jul),2018-07-01,52.3
4038,2018-08-01 00:00:00,Ireland,Manufacturing PMI,AIB Ireland Manufacturing PMI (Jul),2018-07-01,56.3
